"Data from Open Data/DOT as of Summer 2021*
Some Open Streets have been Combined in this analysis",,,,,Transportation Alternatives' Data,,,,,,ACS 2014-2018 US Census Data,,,,,,,,,,,,,,,,,,,,,,,Data from Open Data/DOT,,,,,,,,,,,,,,,,
Borough,On Street,From Street,To Street,Location or Partner,Nearby Address,"Average 
Survey
Score","% of Times 
Car Free
in 5 Minutes","% of Times 
0-1 Cars 
in 5 Minutes",Active vs Non-Operational,"Length of 
Open
Street (ft)",Total population within walking distance,Hispanic/Latino (of any race),Not Hispanic/Latino,White alone,Black or African American Alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Total households,"Household income of less than $10,000","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 or more",Median household income (dollars),Mean household income (dollars),Type,Monday Start,Monday End,Tuesday Start,Tuesday End,Wednesday Start,Wednesday End,Thursday Start,Thursday End,Friday Start,Friday End,Saturday Start,Saturday End,Sunday Start,Sunday End,DAY OF WEEK,Cool Streets
Bronx,Alexander Avenue,Bruckner Boulevard,East 134th Street,Third Avenue Business Improvement District,"135 Alexander Ave, Bronx, NY 10454",6.5,50%,100%,Active,223.97,"25,582","17,685","7,897",690,"6,896",25,119,0,94,73,"9,006","1,853","1,410","1,609",884,"1,284",810,487,451,140,78,"$21,899","$36,704",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,2:00 PM,8:00 PM,2:00 PM,8:00 PM,11:00 AM,8:00 PM,N/A,N/A,"R,F,S",
Bronx,Arthur Avenue,East 187th Street,Crescent Avenue,Belmont Business Improvement District,"600 E 187th St, Bronx, NY 10458",4.5,0%,0%,Non-operational,,"39,308","26,059","13,249","3,210","9,035",1,394,0,91,518,"13,407","2,699","1,718","2,177","1,565","2,001","1,737",588,806,60,56,"$25,690","$37,292",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6:00 PM,10:00 PM,6:00 PM,10:00 PM,1:00 PM,9:00 PM,"F,S,U",
Bronx,Boston Road,East 180th Street,Bronx Park South,River Park,"2123 Boston Rd, Bronx, NY 10460",1.0,0%,0%,Non-operational,,"17,048","12,430","4,618",266,"3,950",0,210,69,45,78,"5,772","1,182",806,"1,058",732,528,943,302,110,51,60,"$23,333","$37,562",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Bronx Park South,Boston Road,Bryant Avenue,River Park,"1016 Bronx Park S, Bronx, NY 10460",1.0,0%,0%,Non-operational,,"15,597","11,323","4,274",257,"3,693",0,177,69,0,78,"5,387","1,131",752,"1,010",685,451,897,285,88,46,42,"$22,850","$36,773",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Cedar Avenue,West Fordham Road,Landing Road,Salsa Con Fuego,"2240 Cedar Ave, Bronx, NY 10468",1.0,0%,0%,Non-operational,,"22,240","16,241","5,999",918,"4,427",198,214,0,65,177,"8,490","1,308",854,"1,126",773,"1,206","1,267","1,052",565,223,116,"$37,541","$50,194",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,"F,S,U",
Bronx,Creston Avenue,Fordham Road,Kingsbridge Road,Fordham Heights,"2487 Creston Ave, Bronx, NY 10468",1.0,0%,0%,Non-operational,,"49,869","38,321","11,548","1,417","7,774",288,"1,037",31,382,619,"15,973","2,713","1,733","2,744","1,598","2,423","2,261","1,360",848,209,84,"$30,206","$42,433",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Crotona Parkway,Bronx Park South,East 180th Street,Crotona,"2120 Crotona Pkwy, Bronx, NY 10460",1.0,0%,0%,Non-operational,,"30,102","20,256","9,846",678,"8,535",0,69,69,139,356,"11,084","2,341","1,596","2,002","1,258","1,070","1,637",556,407,114,103,"$23,046","$38,333",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,East 140th Street,Brook Avenue,Willis Avenue,Mott Haven,"505 E 140th St, Bronx, NY 10454",1.0,0%,0%,Non-operational,,"40,207","28,077","12,130",704,"10,899",137,90,0,157,143,"14,052","3,460","2,141","2,415","1,556","1,863",948,737,570,242,120,"$20,277","$34,446",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,East 144th Street,Jackson Avenue,Concord Avenue,Fresh Air Fund,"721 E 144th St, Bronx, NY 10455",1.0,0%,0%,Non-operational,,"28,241","18,354","9,887",543,"8,599",112,117,156,137,223,"9,454","2,094","1,433","1,290","1,170","1,140","1,000",768,364,97,98,"$24,232","$36,675",Temporary Limited Local Access,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,N/A,N/A,N/A,N/A,"M,T,R,W,F",
Bronx,East 169th Street,3rd Avenue,Webster Avenue,Claremont,"450 E 169th St, Bronx, NY 10456",1.0,0%,0%,Non-operational,,"53,086","31,823","21,263",626,"19,233",427,141,0,210,626,"16,828","3,091","2,376","2,637","2,102","2,160","2,315",869,929,158,191,"$26,230","$42,380",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Field Place,Morris Avenue,Creston Avenue,MS363: The Academy for Personal Leadership and Excellenc,"108 Field Pl, Bronx, NY 10468",1.0,0%,0%,Non-operational,,"59,122","43,869","15,253",703,"12,141",107,"1,122",31,263,886,"19,049","3,217","2,045","3,419","1,895","3,329","2,383","1,532",885,195,149,"$29,339","$41,055",Temporary Full Closure,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Bronx,Findlay Avenue,East 166th Street,East 167th Street,NYPD 44th Precinct,"305 E 166th St, Bronx, NY 10456",1.0,0%,0%,Non-operational,,"57,492","35,578","21,914",698,"19,241",704,572,0,252,447,"19,585","3,433","2,628","2,861","2,157","2,510","2,980","1,477","1,010",280,249,"$28,682","$44,577",Temporary Full Closure,9:00 AM,3:00 PM,9:00 AM,3:00 PM,9:00 AM,3:00 PM,9:00 AM,3:00 PM,9:00 AM,3:00 PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Bronx,Forest Avenue,East 156th Street,Westchester Avenue,Captain Rivera Playground,"730 Forest Ave, Bronx, NY 10455",1.0,0%,0%,Non-operational,,"37,988","26,169","11,819",427,"10,116",166,639,156,138,177,"13,049","2,320","1,960","1,964","1,696","1,609","1,821",697,647,99,236,"$26,888","$41,412",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
